frame_idx,ms,Pelvis_x,Pelvis_y,Pelvis_z,L5_x,L5_y,L5_z,L3_x,L3_y,L3_z,T12_x,T12_y,T12_z,T8_x,T8_y,T8_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,RightUpperArm_x,RightUpperArm_y,RightUpperArm_z,RightForeArm_x,RightForeArm_y,RightForeArm_z,RightHand_x,RightHand_y,RightHand_z,LeftShoulder_x,LeftShoulder_y,LeftShoulder_z,LeftUpperArm_x,LeftUpperArm_y,LeftUpperArm_z,LeftForeArm_x,LeftForeArm_y,LeftForeArm_z,LeftHand_x,LeftHand_y,LeftHand_z,RightUpperLeg_x,RightUpperLeg_y,RightUpperLeg_z,RightLowerLeg_x,RightLowerLeg_y,RightLowerLeg_z,RightFoot_x,RightFoot_y,RightFoot_z,RightToe_x,RightToe_y,RightToe_z,LeftUpperLeg_x,LeftUpperLeg_y,LeftUpperLeg_z,LeftLowerLeg_x,LeftLowerLeg_y,LeftLowerLeg_z,LeftFoot_x,LeftFoot_y,LeftFoot_z,LeftToe_x,LeftToe_y,LeftToe_z
2026,1575718892326,0.074714,0.086888,0.929184,0.072543,0.087256,1.029772,0.079651,0.088124,1.140789,0.074801,0.08766,1.242234,0.06884,0.0869,1.343503,0.073594,0.087114,1.484379,0.099281,0.091769,1.585489,0.074764,0.05741,1.422266,0.084609,-0.079629,1.403815,0.143948,-0.149099,1.126515,0.168505,-0.106204,0.891417,0.068149,0.116673,1.4224,0.048031,0.252923,1.406624,0.085431,0.307186,1.12219,0.123843,0.270345,0.887916,0.081327,0.005128,0.929525,0.053403,-0.001816,0.502378,0.025204,-0.008492,0.085331,0.18037,0.014556,0.020063,0.068108,0.168648,0.928617,0.031139,0.16256,0.502145,0.004694,0.157257,0.084964,0.159125,0.180947,0.018198
2027,1575718892331,0.074638,0.08692,0.929193,0.072448,0.087284,1.02978,0.079543,0.088149,1.140799,0.074685,0.087678,1.242243,0.068721,0.086911,1.343512,0.073474,0.087118,1.484388,0.099182,0.09178,1.585492,0.07465,0.05742,1.422276,0.084608,-0.079612,1.403827,0.145141,-0.150038,1.127025,0.170223,-0.106754,0.892055,0.06802,0.11668,1.422413,0.047895,0.252938,1.406705,0.086177,0.308395,1.122618,0.125139,0.271144,0.888501,0.081272,0.005161,0.929532,0.053385,-0.001783,0.502383,0.025201,-0.008484,0.085335,0.180368,0.01456,0.020069,0.068012,0.168678,0.928627,0.031125,0.162572,0.502149,0.004696,0.157259,0.084966,0.159124,0.180956,0.018198
2028,1575718892335,0.074561,0.086949,0.929202,0.072351,0.08731,1.029789,0.079434,0.088172,1.140809,0.074569,0.087696,1.242252,0.068601,0.086923,1.343521,0.073353,0.087125,1.484397,0.099081,0.091793,1.585496,0.074536,0.05743,1.422287,0.084604,-0.079594,1.403842,0.146327,-0.150986,1.127553,0.171958,-0.107317,0.892715,0.06789,0.116689,1.422426,0.047753,0.252953,1.406787,0.086908,0.30963,1.123063,0.126464,0.271975,0.889115,0.081215,0.005192,0.92954,0.053367,-0.001754,0.502389,0.025199,-0.008478,0.08534,0.180367,0.014565,0.020074,0.067915,0.168706,0.928638,0.031111,0.162584,0.502152,0.004698,0.157262,0.084969,0.159124,0.180964,0.018198
2029,1575718892339,0.074483,0.086976,0.929212,0.072255,0.087332,1.029798,0.079325,0.088192,1.140819,0.074453,0.087712,1.242262,0.068481,0.086935,1.343531,0.073231,0.087134,1.484407,0.098978,0.091809,1.585501,0.074423,0.057443,1.422299,0.084593,-0.079575,1.403861,0.1475,-0.151942,1.128096,0.173704,-0.107894,0.893396,0.06776,0.1167,1.42244,0.047604,0.252968,1.406871,0.087619,0.31089,1.123525,0.127816,0.272839,0.889757,0.081156,0.00522,0.929549,0.053352,-0.001727,0.502394,0.025197,-0.008472,0.085345,0.180365,0.014568,0.020079,0.067817,0.16873,0.928649,0.031098,0.162597,0.502156,0.004699,0.157265,0.084972,0.159124,0.180971,0.018198
2030,1575718892343,0.074403,0.086999,0.929222,0.072158,0.087352,1.029809,0.079217,0.088211,1.14083,0.074337,0.087728,1.242272,0.068361,0.086947,1.343541,0.073107,0.087147,1.484417,0.098873,0.091828,1.585506,0.074312,0.057456,1.422312,0.084577,-0.079556,1.403885,0.148673,-0.15291,1.12866,0.175475,-0.108496,0.894099,0.067631,0.116711,1.422453,0.047449,0.252985,1.406959,0.088317,0.312183,1.124007,0.129201,0.273744,0.890427,0.081096,0.005245,0.929558,0.053339,-0.001704,0.5024,0.025196,-0.008468,0.08535,0.180364,0.014571,0.020084,0.067718,0.168752,0.928661,0.031086,0.162609,0.502161,0.004701,0.157269,0.084976,0.159124,0.180977,0.018199
2031,1575718892347,0.074323,0.087021,0.929234,0.072059,0.087369,1.02982,0.079107,0.088228,1.140842,0.07422,0.087742,1.242284,0.06824,0.086959,1.343552,0.072984,0.087161,1.484428,0.098768,0.09185,1.585512,0.074201,0.057471,1.422328,0.084558,-0.079537,1.403915,0.149857,-0.153891,1.129246,0.177283,-0.109131,0.894823,0.067501,0.116724,1.422468,0.047289,0.253001,1.407054,0.089011,0.313515,1.124511,0.130625,0.274696,0.891126,0.081035,0.005268,0.929567,0.053328,-0.001684,0.502406,0.025195,-0.008464,0.085356,0.180363,0.014575,0.02009,0.067618,0.168772,0.928674,0.031078,0.162621,0.502166,0.004703,0.157272,0.084981,0.159124,0.180983,0.0182
2032,1575718892351,0.07424,0.08704,0.929247,0.07196,0.087384,1.029832,0.078996,0.088244,1.140855,0.074102,0.087755,1.242297,0.068118,0.086972,1.343565,0.072859,0.087177,1.484441,0.098662,0.091874,1.58552,0.074092,0.057486,1.422345,0.084535,-0.079518,1.403951,0.151048,-0.154883,1.129853,0.179126,-0.109793,0.895568,0.067371,0.116737,1.422484,0.047122,0.253018,1.407157,0.0897,0.314882,1.125036,0.132087,0.275688,0.891851,0.080973,0.005289,0.929578,0.053319,-0.001666,0.502413,0.025194,-0.008461,0.085362,0.180362,0.014577,0.020095,0.067515,0.168789,0.928689,0.031073,0.162634,0.502173,0.004706,0.157277,0.084987,0.159124,0.180989,0.018202
2033,1575718892355,0.074157,0.087057,0.92926,0.07186,0.087397,1.029845,0.078884,0.088257,1.140868,0.073983,0.087768,1.24231,0.067995,0.086984,1.343578,0.072734,0.087195,1.484454,0.098555,0.091899,1.585528,0.073982,0.057502,1.422363,0.084509,-0.079498,1.403992,0.152242,-0.155887,1.130478,0.180998,-0.110476,0.896335,0.067241,0.11675,1.422501,0.046951,0.253036,1.407264,0.090384,0.31628,1.125581,0.133585,0.276716,0.892604,0.08091,0.005308,0.929589,0.053311,-0.001649,0.502421,0.025194,-0.008458,0.08537,0.180361,0.01458,0.0201,0.067411,0.168805,0.928704,0.031068,0.162646,0.502179,0.004708,0.157281,0.084993,0.159125,0.180994,0.018204
2034,1575718892360,0.074071,0.087072,0.929274,0.071758,0.087407,1.029858,0.078771,0.088269,1.140882,0.073864,0.087779,1.242324,0.067872,0.086995,1.343591,0.072607,0.087214,1.484468,0.098446,0.091926,1.585537,0.073873,0.057518,1.422383,0.084479,-0.079479,1.404036,0.153436,-0.1569,1.13112,0.182896,-0.111173,0.897122,0.067109,0.116764,1.422518,0.046774,0.253053,1.407375,0.091063,0.317704,1.126143,0.135117,0.277774,0.893384,0.080845,0.005325,0.9296,0.053303,-0.001635,0.502429,0.025194,-0.008456,0.085377,0.18036,0.014583,0.020105,0.067305,0.168818,0.92872,0.031064,0.162658,0.502187,0.004711,0.157286,0.085,0.159125,0.180999,0.018207
2035,1575718892364,0.073984,0.087086,0.929288,0.071655,0.087416,1.029872,0.078657,0.08828,1.140897,0.073743,0.08779,1.242338,0.067747,0.087007,1.343606,0.072478,0.087233,1.484482,0.098335,0.091953,1.585546,0.073762,0.057535,1.422403,0.084446,-0.07946,1.404084,0.154625,-0.157921,1.131776,0.184815,-0.111878,0.89793,0.066976,0.116778,1.422536,0.046593,0.25307,1.40749,0.091735,0.31915,1.126723,0.136681,0.278857,0.894191,0.080778,0.00534,0.929612,0.053295,-0.001621,0.502437,0.025195,-0.008454,0.085385,0.180359,0.014585,0.020111,0.067197,0.16883,0.928736,0.031059,0.16267,0.502194,0.004713,0.15729,0.085007,0.159126,0.181004,0.018209
